id,neighbourhood,room_type,accommodates,bathrooms,bedrooms,beds,price
2238,Kitsilano,Entire home/apt,2,1 bath,1,1,130
2239,West End,Entire home/apt,2,1 bath,1,1,86
2240,Fairview,Entire home/apt,2,1 bath,1,1,139
2241,Downtown,Entire home/apt,4,2 baths,2,2,110
2242,Fairview,Entire home/apt,4,2 baths,2,2,107
2243,Downtown,Entire home/apt,2,1 bath,1,1,250
2244,Kensington-Cedar Cottage,Entire home/apt,11,2 baths,4,6,301
2245,Kensington-Cedar Cottage,Private room,2,1 shared bath,1,1,80
2246,Kensington-Cedar Cottage,Private room,2,1 shared bath,1,1,80
2247,Mount Pleasant,Entire home/apt,4,1 bath,1,2,105
2248,Downtown,Entire home/apt,2,1 bath,1,1,135
2249,Sunset,Entire home/apt,3,1 bath,2,2,99
2250,Mount Pleasant,Entire home/apt,6,2 baths,3,2,200
2251,Renfrew-Collingwood,Entire home/apt,3,1 bath,1,1,167
2252,Mount Pleasant,Entire home/apt,2,1 bath,1,1,150
2253,West End,Private room,1,1 shared bath,1,1,40
2254,Downtown,Entire home/apt,4,1 bath,1,2,111
2255,Sunset,Entire home/apt,5,1 bath,2,3,89
2256,Fairview,Entire home/apt,4,2 baths,2,2,110
2257,Downtown,Private room,1,1 shared bath,1,1,125
2258,Fairview,Private room,2,1 private bath,1,1,75
2259,Arbutus Ridge,Entire home/apt,6,2 baths,2,3,175
2260,Kensington-Cedar Cottage,Private room,1,1 shared bath,1,1,44
2261,Renfrew-Collingwood,Entire home/apt,1,1 bath,1,1,75
2262,Shaughnessy,Entire home/apt,11,3.5 baths,5,5,360
2263,Fairview,Entire home/apt,4,1 bath,1,3,117
2264,West Point Grey,Entire home/apt,2,1 bath,1,2,75
2265,Kitsilano,Entire home/apt,4,2 baths,2,2,290
2266,Dunbar Southlands,Entire home/apt,2,1 bath,1,1,100
2267,West End,Shared room,1,1 shared bath,1,1,91
2268,West Point Grey,Entire home/apt,4,1 bath,1,3,200
2269,Kensington-Cedar Cottage,Entire home/apt,4,1.5 baths,2,2,109
2270,Grandview-Woodland,Entire home/apt,12,3.5 baths,5,6,475
2271,Downtown,Entire home/apt,2,1 bath,1,1,80
2272,Downtown Eastside,Entire home/apt,2,1 bath,1,1,100
2273,Riley Park,Entire home/apt,3,1 bath,1,2,115
2274,Downtown,Entire home/apt,3,1 bath,1,1,190
2275,West End,Private room,2,1 shared bath,1,1,35
2276,Mount Pleasant,Entire home/apt,4,1 bath,1,2,120
2277,West End,Private room,2,2 shared baths,1,1,43
2278,West End,Private room,2,1 private bath,1,1,50
2279,Mount Pleasant,Entire home/apt,5,1 bath,3,3,99
2280,Riley Park,Entire home/apt,6,1 bath,3,5,275
2281,Downtown,Entire home/apt,2,2 baths,1,1,100
2282,West End,Entire home/apt,5,0 baths,2,2,270
2283,Arbutus Ridge,Private room,2,1 shared bath,1,1,45
2284,Dunbar Southlands,Entire home/apt,2,1 bath,1,1,135
2285,Kensington-Cedar Cottage,Entire home/apt,8,2.5 baths,3,4,149
2286,Downtown,Entire home/apt,2,1 bath,1,1,130
2287,Marpole,Entire home/apt,4,1 bath,2,2,105
2288,Arbutus Ridge,Entire home/apt,10,2 baths,5,5,361
2289,Downtown,Entire home/apt,2,1 bath,1,1,237.22
2290,Kitsilano,Private room,1,1 shared bath,1,1,60
2291,Kitsilano,Private room,2,1 shared bath,1,1,70
2292,Hastings-Sunrise,Entire home/apt,6,1 bath,2,4,114
2293,Mount Pleasant,Entire home/apt,2,1 bath,1,1,68
2294,Downtown,Entire home/apt,4,1 bath,1,1,97
2295,Renfrew-Collingwood,Entire home/apt,2,1 bath,1,1,47
2296,Mount Pleasant,Entire home/apt,2,1 bath,1,2,110
2297,West End,Entire home/apt,2,1 bath,1,1,125
2298,Fairview,Entire home/apt,4,1 bath,2,2,78
2299,Downtown Eastside,Entire home/apt,3,1 bath,1,1,159
2300,Arbutus Ridge,Private room,2,1 shared bath,1,1,32
2301,Kensington-Cedar Cottage,Entire home/apt,8,4.5 baths,4,4,462
2302,Downtown,Entire home/apt,4,2 baths,2,2,151
2303,Downtown,Private room,2,1 shared bath,1,1,100
2304,Riley Park,Entire home/apt,2,1 bath,1,1,129
2305,Grandview-Woodland,Entire home/apt,2,1 bath,1,0,80
2306,Riley Park,Entire home/apt,6,1.5 baths,3,3,350
2307,Shaughnessy,Entire home/apt,4,1 bath,2,3,150
2308,Mount Pleasant,Entire home/apt,4,1 bath,1,1,83
2309,Dunbar Southlands,Entire home/apt,4,1 bath,1,1,50
2310,Marpole,Entire home/apt,8,3.5 baths,4,4,190
2311,Mount Pleasant,Entire home/apt,3,1 bath,1,0,115
2312,Kensington-Cedar Cottage,Entire home/apt,8,1 bath,3,4,225
2313,Downtown,Private room,1,1 private bath,1,1,160
2314,Kitsilano,Entire home/apt,2,1 bath,1,1,75
2315,Kensington-Cedar Cottage,Entire home/apt,3,1 bath,1,1,60
2316,Dunbar Southlands,Entire home/apt,4,1 bath,3,5,161
2317,Kensington-Cedar Cottage,Entire home/apt,2,1 bath,1,1,85
2318,Mount Pleasant,Entire home/apt,4,1.5 baths,2,2,99
2319,Fairview,Entire home/apt,5,2 baths,2,2,403
2320,Mount Pleasant,Entire home/apt,2,1 bath,1,1,120
2321,Kerrisdale,Private room,2,1 private bath,1,1,70
2322,Hastings-Sunrise,Entire home/apt,2,1 bath,1,1,55
2323,Kerrisdale,Private room,2,1 shared bath,1,1,75
2324,Riley Park,Entire home/apt,3,1 bath,2,2,125
2325,Kerrisdale,Private room,8,3 baths,4,4,230
2326,Kerrisdale,Private room,2,1 private bath,1,1,65
2327,Riley Park,Entire home/apt,6,2 baths,3,5,225
2328,Kensington-Cedar Cottage,Entire home/apt,3,1 bath,2,2,329
2329,West End,Private room,2,2 shared baths,1,1,90
2330,Renfrew-Collingwood,Entire home/apt,13,3 baths,5,6,254
2331,Downtown,Entire home/apt,4,1 bath,1,2,126
2332,West Point Grey,Entire home/apt,4,2.5 baths,2,2,349
2333,Downtown Eastside,Entire home/apt,4,1.5 baths,2,2,165
2334,West End,Private room,2,1 shared bath,1,1,50
2335,West End,Entire home/apt,5,1 bath,2,2,115
2336,Kensington-Cedar Cottage,Entire home/apt,3,1 bath,2,2,85
2337,Grandview-Woodland,Entire home/apt,2,1 bath,1,2,75
2338,Downtown,Entire home/apt,4,1 bath,1,1,89
2339,Downtown,Entire home/apt,5,1 bath,3,3,125
2340,Downtown,Entire home/apt,3,1 bath,1,2,198
2341,Downtown Eastside,Entire home/apt,2,1 bath,1,1,159
2342,Downtown,Entire home/apt,3,1 bath,1,2,125
2343,Sunset,Entire home/apt,5,1.5 baths,3,1,120
2344,West End,Entire home/apt,2,1 bath,1,1,135
2345,Downtown,Entire home/apt,4,1 bath,1,2,282
2346,Grandview-Woodland,Entire home/apt,2,1 bath,1,1,150
2347,Downtown,Entire home/apt,5,2 baths,2,3,264
2348,Fairview,Entire home/apt,6,3 baths,2,3,995
2349,Kerrisdale,Private room,2,1 shared bath,1,1,55
2350,Kerrisdale,Private room,2,1 shared bath,1,1,50
2351,Grandview-Woodland,Entire home/apt,3,2 baths,2,2,199
2352,Sunset,Entire home/apt,9,5 baths,5,5,493
2353,Marpole,Entire home/apt,4,2 baths,2,2,129
2354,Kitsilano,Entire home/apt,6,2 baths,3,4,290
2355,Grandview-Woodland,Entire home/apt,4,1.5 baths,2,2,225
2356,Kitsilano,Entire home/apt,4,2 baths,2,2,165
2357,Kensington-Cedar Cottage,Entire home/apt,2,1 bath,1,1,132
2358,Downtown,Entire home/apt,8,3 baths,2,2,260
2359,Kitsilano,Entire home/apt,6,1 bath,2,2,232
2360,Killarney,Entire home/apt,12,4 baths,5,5,254
2361,Kensington-Cedar Cottage,Entire home/apt,4,1 bath,2,2,75
2362,West End,Entire home/apt,2,1 bath,1,1,60
2363,Kensington-Cedar Cottage,Entire home/apt,6,1 bath,2,3,100
2364,Renfrew-Collingwood,Entire home/apt,4,1 bath,2,2,92
2365,Fairview,Entire home/apt,2,1 bath,1,1,78
2366,Fairview,Entire home/apt,3,1 bath,1,2,200
2367,Fairview,Entire home/apt,4,2 baths,2,2,130
2368,Kerrisdale,Entire home/apt,4,1 bath,2,2,245
2369,Downtown,Entire home/apt,4,1 bath,1,3,150
2370,Downtown,Entire home/apt,2,1 bath,1,1,85
2371,Riley Park,Entire home/apt,6,2 baths,3,3,375
2372,Downtown,Entire home/apt,4,1 bath,1,2,129
2373,Downtown,Entire home/apt,5,2 baths,3,2,669
2374,Mount Pleasant,Entire home/apt,3,1 bath,1,1,110
2375,Downtown Eastside,Entire home/apt,2,1 bath,1,1,191
2376,Downtown,Entire home/apt,2,1 bath,1,1,200
2377,Fairview,Entire home/apt,2,1 bath,1,1,75
2378,Kensington-Cedar Cottage,Entire home/apt,14,3 baths,6,7,799
2379,Mount Pleasant,Private room,2,1 bath,1,1,42
2380,Downtown Eastside,Entire home/apt,4,1 bath,2,2,95
2381,West End,Entire home/apt,4,2 baths,2,2,128
2382,South Cambie,Entire home/apt,4,1 bath,2,2,102
2383,Mount Pleasant,Entire home/apt,2,1 bath,1,1,125
2384,Downtown,Entire home/apt,3,1 bath,2,2,130
2385,Grandview-Woodland,Entire home/apt,4,1 bath,2,2,140
2386,Downtown Eastside,Private room,1,1 shared bath,1,1,99
2387,Kitsilano,Private room,6,1 private bath,3,3,150
2388,Riley Park,Private room,2,1 shared bath,1,1,55
2389,West End,Entire home/apt,5,1 bath,1,3,132
2390,West Point Grey,Private room,3,1 private bath,1,3,120
2391,Hastings-Sunrise,Entire home/apt,2,1 bath,1,1,80
2392,West End,Private room,2,2 shared baths,1,1,35
2393,West End,Entire home/apt,4,1 bath,1,2,126
2394,Arbutus Ridge,Entire home/apt,2,1 bath,1,1,123
2395,Grandview-Woodland,Entire home/apt,7,1.5 baths,3,4,450
2396,Marpole,Entire home/apt,16,7 baths,6,5,949
2397,Downtown,Entire home/apt,4,2 baths,2,2,220
2398,Downtown,Entire home/apt,4,1 bath,1,1,89
2399,Dunbar Southlands,Private room,2,1.5 shared baths,1,1,79
2400,Riley Park,Entire home/apt,6,2 baths,3,3,504
2401,Oakridge,Private room,3,1 private bath,1,2,80
2402,Riley Park,Entire home/apt,7,3.5 baths,4,7,299
2403,Downtown,Private room,2,1 private bath,1,1,90
2404,Downtown Eastside,Private room,2,1 shared bath,1,1,250
2405,Hastings-Sunrise,Entire home/apt,8,2 baths,3,4,279
2406,Dunbar Southlands,Private room,1,1.5 shared baths,1,1,79
2407,Downtown,Private room,2,1 private bath,1,1,75
2408,Downtown,Entire home/apt,2,1 bath,1,1,97
2409,Kensington-Cedar Cottage,Entire home/apt,6,1 bath,2,3,200
2410,Downtown,Entire home/apt,2,1 bath,1,2,113
2411,West End,Entire home/apt,4,1 bath,2,4,79
2412,Renfrew-Collingwood,Entire home/apt,2,1 bath,1,2,85
2413,Kensington-Cedar Cottage,Private room,2,1 shared bath,1,1,56
2414,West End,Entire home/apt,2,1 bath,1,1,85
2415,Riley Park,Entire home/apt,4,1 bath,2,3,200
2416,Kitsilano,Entire home/apt,6,2.5 baths,3,3,600
2417,Mount Pleasant,Entire home/apt,4,1 bath,1,2,129
2418,Arbutus Ridge,Private room,2,1 shared bath,1,0,45
2419,Grandview-Woodland,Entire home/apt,2,1 bath,2,2,165
2420,Downtown,Entire home/apt,4,1 bath,1,1,511
2421,Downtown,Entire home/apt,4,1 bath,1,1,229
2422,Downtown,Entire home/apt,4,1 bath,1,1,550
2423,Hastings-Sunrise,Entire home/apt,4,1 bath,2,2,89
2424,Kerrisdale,Entire home/apt,2,1 bath,1,1,71
2425,Renfrew-Collingwood,Entire home/apt,3,1 bath,1,2,89
2426,Renfrew-Collingwood,Entire home/apt,4,1 bath,1,2,85
2427,West End,Private room,1,1 shared bath,1,1,150
2428,Downtown,Entire home/apt,16,2 baths,6,7,899
2429,Marpole,Private room,1,1 shared bath,1,1,38
2430,Downtown,Entire home/apt,2,1 bath,1,1,175
2431,Mount Pleasant,Entire home/apt,2,1 bath,1,1,125
2432,Riley Park,Entire home/apt,4,2 baths,2,2,160
2433,Kitsilano,Private room,2,1 shared bath,1,1,125
2434,Grandview-Woodland,Entire home/apt,6,1 bath,3,3,140
2435,West End,Private room,2,0 shared baths,1,1,150
2436,Downtown Eastside,Entire home/apt,2,1 bath,1,1,100
2437,Mount Pleasant,Entire home/apt,2,1 bath,1,1,131
2438,Downtown,Entire home/apt,5,1 bath,1,3,200
2439,Grandview-Woodland,Entire home/apt,4,1 bath,2,2,170
2440,Downtown,Entire home/apt,3,1 bath,1,1,160
2441,Riley Park,Entire home/apt,2,1 bath,1,1,159
2442,West Point Grey,Entire home/apt,5,2 baths,4,4,500
2443,Downtown,Entire home/apt,4,1 bath,1,1,110
2444,Riley Park,Entire home/apt,4,1 bath,2,2,106
2445,Kitsilano,Entire home/apt,5,2 baths,2,2,275
2446,Hastings-Sunrise,Private room,2,1 private bath,1,1,50
2447,Kitsilano,Entire home/apt,4,1 bath,1,1,208
2448,Downtown,Entire home/apt,4,1 bath,1,2,141
2449,West End,Entire home/apt,2,1 bath,1,1,100
2450,Downtown,Entire home/apt,6,1 bath,3,3,130
2451,Downtown,Entire home/apt,3,1 bath,1,1,150
2452,Dunbar Southlands,Entire home/apt,4,1 bath,2,2,159
2453,Renfrew-Collingwood,Entire home/apt,2,1 bath,1,1,169
2454,Downtown,Entire home/apt,2,1 bath,1,1,82
2455,West End,Entire home/apt,4,1 bath,1,1,90
2456,Downtown,Entire home/apt,4,1 bath,1,1,88
2457,Riley Park,Entire home/apt,9,3.5 baths,5,6,500
2458,Downtown,Entire home/apt,4,1 bath,2,2,125
2459,Riley Park,Private room,2,1 private bath,1,1,95
2460,Downtown,Entire home/apt,5,2 baths,3,5,307
2461,Grandview-Woodland,Entire home/apt,2,1 bath,1,1,50
2462,Oakridge,Entire home/apt,16,6 baths,8,10,580
2463,Mount Pleasant,Entire home/apt,5,2.5 baths,3,3,280
2464,Arbutus Ridge,Private room,1,1 private bath,1,1,55
2465,Downtown,Entire home/apt,2,1 bath,1,1,83
2466,Mount Pleasant,Entire home/apt,4,1 bath,2,2,120
2467,Downtown Eastside,Entire home/apt,4,1 bath,1,2,300
2468,Hastings-Sunrise,Entire home/apt,5,1 bath,2,3,69
2469,West End,Entire home/apt,8,2 baths,3,3,199
2470,Hastings-Sunrise,Entire home/apt,4,1 bath,1,3,89.14
2471,Grandview-Woodland,Private room,1,2 shared baths,1,1,50
2472,Downtown,Private room,1,1 shared bath,1,1,45
2473,Downtown,Entire home/apt,4,1 bath,2,2,120
2474,Sunset,Entire home/apt,4,1 bath,2,2,150
2475,Riley Park,Private room,2,1 shared bath,1,2,55
2476,Downtown,Entire home/apt,2,1 bath,1,1,296
2477,Sunset,Entire home/apt,2,1 bath,1,1,59
2478,Riley Park,Entire home/apt,2,1 bath,1,1,147
2479,Riley Park,Entire home/apt,2,1 bath,1,1,68
2480,Dunbar Southlands,Private room,2,1 private bath,1,1,80
2481,Downtown,Private room,1,1 shared bath,1,1,33
2482,West End,Private room,1,1 shared bath,1,1,96
2483,Downtown,Entire home/apt,2,1 bath,1,1,129
2484,Fairview,Entire home/apt,6,1 bath,2,3,209
2485,Riley Park,Entire home/apt,4,1 bath,2,2,113
2486,Downtown,Entire home/apt,3,1 bath,1,2,239
2487,South Cambie,Entire home/apt,2,1 bath,1,1,100
2488,Mount Pleasant,Entire home/apt,3,1 bath,1,2,89
2489,Downtown,Entire home/apt,4,1 bath,2,2,179
2490,Downtown,Entire home/apt,3,2 baths,1,2,113.34
2491,Riley Park,Private room,1,1 private bath,1,1,30
2492,Hastings-Sunrise,Private room,4,1 shared bath,1,2,60
2493,Downtown,Entire home/apt,4,1 bath,1,2,126
2494,Shaughnessy,Entire home/apt,8,3 baths,4,4,598
2495,Downtown,Entire home/apt,4,2 baths,2,2,249
2496,Kensington-Cedar Cottage,Private room,1,1 shared bath,1,1,26
2497,Downtown,Entire home/apt,5,2 baths,2,2,73
2498,Kensington-Cedar Cottage,Private room,2,1.5 shared baths,1,1,40
2499,Mount Pleasant,Entire home/apt,3,1 bath,1,2,70
2500,West End,Entire home/apt,2,1 bath,1,2,145
2501,Downtown Eastside,Entire home/apt,4,2 baths,2,2,214
2502,Hastings-Sunrise,Entire home/apt,2,1 bath,1,1,100
2503,Kerrisdale,Entire home/apt,8,2 baths,2,4,251
2504,Oakridge,Private room,2,1 private bath,1,1,154
2505,Oakridge,Private room,2,1 private bath,1,1,154
2506,Dunbar Southlands,Entire home/apt,2,1 bath,1,2,138
2507,Fairview,Entire home/apt,4,2.5 baths,2,3,350
2508,Kensington-Cedar Cottage,Entire home/apt,2,2 baths,3,3,329
2509,Downtown,Entire home/apt,5,1 bath,2,2,81.71
2510,Hastings-Sunrise,Entire home/apt,12,5 baths,5,5,484
2511,Oakridge,Entire home/apt,10,6 baths,5,5,990
2512,Kerrisdale,Entire home/apt,6,3 baths,5,6,200
2513,West End,Entire home/apt,2,1 bath,1,1,100
2514,West End,Private room,2,1 private bath,1,1,65
2515,Fairview,Entire home/apt,6,1 bath,2,3,199
2516,Kitsilano,Entire home/apt,2,1 bath,1,1,110
2517,West End,Entire home/apt,2,1 bath,1,1,140
2518,Downtown,Entire home/apt,2,1 bath,1,1,90
2519,Hastings-Sunrise,Entire home/apt,2,1 bath,1,1,75
2520,Riley Park,Private room,2,1.5 shared baths,1,1,46
2521,West End,Private room,2,1 shared bath,1,1,70
2522,Grandview-Woodland,Entire home/apt,3,1 bath,1,1,160
2523,Kensington-Cedar Cottage,Entire home/apt,6,1 bath,2,3,149
2524,Kensington-Cedar Cottage,Entire home/apt,6,1 bath,2,2,250
2525,Kitsilano,Entire home/apt,2,1 bath,1,1,102
2526,Kensington-Cedar Cottage,Entire home/apt,4,1.5 baths,2,3,120
2527,Downtown,Entire home/apt,2,1 bath,1,2,109
2528,West End,Private room,2,1 bath,1,1,75
2529,Downtown Eastside,Entire home/apt,2,1 bath,1,1,99
2530,Downtown,Entire home/apt,5,1 bath,3,4,104
2531,Kitsilano,Private room,2,1 shared bath,1,1,74
2532,Downtown,Entire home/apt,4,1 bath,1,2,118.57
2533,Hastings-Sunrise,Entire home/apt,6,2 baths,3,3,150
2534,Downtown,Entire home/apt,2,1 bath,1,1,90
2535,Downtown,Private room,1,1 bath,1,1,99
2536,Downtown,Entire home/apt,2,1.5 baths,1,1,100
2537,Sunset,Entire home/apt,4,1 bath,1,2,113
2538,West End,Entire home/apt,6,2 baths,2,2,270
2539,Riley Park,Private room,2,1 shared bath,1,1,34
2540,Downtown,Entire home/apt,6,2 baths,3,3,340
2541,Dunbar Southlands,Private room,2,1 private bath,1,1,85
2542,Dunbar Southlands,Private room,2,1 bath,1,1,72
2543,Dunbar Southlands,Private room,2,1 bath,1,1,79
2544,West End,Entire home/apt,5,1 bath,2,3,250
2545,Downtown,Entire home/apt,2,1 bath,1,1,279
2546,Kitsilano,Entire home/apt,4,2 baths,2,2,415
2547,Downtown Eastside,Private room,2,1 private bath,1,1,99
2548,West End,Entire home/apt,2,1 bath,1,1,100
2549,Kitsilano,Private room,2,1.5 baths,1,1,70
2550,Downtown Eastside,Private room,2,1.5 shared baths,1,1,125
2551,Downtown,Entire home/apt,3,1 bath,1,2,200
2552,Kensington-Cedar Cottage,Entire home/apt,4,1 bath,2,2,241
2553,Sunset,Private room,2,1 shared bath,1,1,59
2554,Kensington-Cedar Cottage,Private room,2,1 shared bath,1,1,65
2555,Kerrisdale,Entire home/apt,2,1 bath,1,1,90
2556,Marpole,Entire home/apt,4,1 bath,2,2,400
2557,Marpole,Private room,3,1 private bath,1,2,50
2558,Renfrew-Collingwood,Private room,7,1 shared bath,3,3,170
2559,Downtown,Entire home/apt,6,2 baths,2,3,140
2560,South Cambie,Entire home/apt,4,1 bath,2,2,85
2561,Downtown,Entire home/apt,4,1 bath,1,2,140
2562,Shaughnessy,Private room,4,2 baths,2,2,159
2563,Downtown Eastside,Private room,2,1 shared bath,1,1,99
2564,Downtown,Entire home/apt,2,1 bath,1,1,199
2565,Kitsilano,Entire home/apt,2,1 bath,1,1,78
2566,Grandview-Woodland,Entire home/apt,2,1 bath,1,1,133
2567,Riley Park,Entire home/apt,4,1.5 baths,2,2,300
2568,Grandview-Woodland,Entire home/apt,4,1 bath,2,4,99
2569,Victoria-Fraserview,Entire home/apt,4,1 bath,2,2,99
2570,Kensington-Cedar Cottage,Entire home/apt,4,1 bath,2,5,140
2571,West End,Entire home/apt,3,1 bath,1,2,120
2572,Marpole,Private room,1,1 shared bath,1,1,38
2573,Downtown,Entire home/apt,6,2 baths,3,3,396
2574,Arbutus Ridge,Entire home/apt,2,1 bath,1,1,95
2575,Kensington-Cedar Cottage,Entire home/apt,6,1.5 baths,3,4,90
2576,Victoria-Fraserview,Entire home/apt,7,3 baths,4,4,250
2577,Kensington-Cedar Cottage,Entire home/apt,6,2.5 baths,3,4,300
2578,Mount Pleasant,Entire home/apt,2,1 bath,1,1,125
2579,Arbutus Ridge,Entire home/apt,4,1.5 baths,2,2,193
2580,Kensington-Cedar Cottage,Entire home/apt,4,1 bath,2,2,115
2581,West Point Grey,Entire home/apt,2,1 bath,1,1,214
2582,Downtown,Entire home/apt,4,2 baths,2,2,146
2583,Dunbar Southlands,Entire home/apt,2,1 bath,1,1,90
2584,Grandview-Woodland,Entire home/apt,4,1 bath,1,2,125
2585,Arbutus Ridge,Entire home/apt,9,2 baths,4,4,199
2586,Sunset,Private room,2,2 shared baths,1,1,51
2587,Riley Park,Entire home/apt,2,1 bath,1,1,76
2588,Renfrew-Collingwood,Entire home/apt,2,1 bath,1,1,116
2589,Kensington-Cedar Cottage,Entire home/apt,6,1.5 baths,3,3,100
2590,Renfrew-Collingwood,Private room,1,1 shared bath,1,1,30
2591,Renfrew-Collingwood,Private room,1,1 private bath,1,1,35
2592,West End,Private room,1,Private half-bath,3,1,89
2593,Kitsilano,Private room,1,1 shared bath,1,1,30
2594,Fairview,Entire home/apt,2,1 bath,1,1,325
2595,Downtown,Entire home/apt,7,2 baths,2,3,390
2596,Kensington-Cedar Cottage,Private room,2,1 shared bath,1,1,60
2597,West End,Entire home/apt,2,1 bath,1,1,316
2598,Kensington-Cedar Cottage,Private room,2,1 shared bath,1,1,45
2599,Marpole,Entire home/apt,13,4 baths,5,7,230
2600,Downtown,Entire home/apt,4,1 bath,1,2,127
2601,Kerrisdale,Entire home/apt,4,1 bath,2,2,128
2602,West End,Entire home/apt,2,1 bath,1,1,102.74
2603,Killarney,Entire home/apt,6,1 bath,3,3,153
2604,Hastings-Sunrise,Entire home/apt,4,1 bath,2,2,220
2605,Arbutus Ridge,Entire home/apt,8,4.5 baths,4,4,307
2606,Hastings-Sunrise,Entire home/apt,8,3 baths,4,4,331
2607,Arbutus Ridge,Private room,2,1 private bath,1,1,95
2608,Downtown Eastside,Entire home/apt,3,1 bath,1,1,66
2609,Dunbar Southlands,Entire home/apt,3,1 bath,2,3,150
2610,Kitsilano,Entire home/apt,4,1 bath,2,2,110
2611,Sunset,Private room,2,2 shared baths,1,1,50
2612,Killarney,Entire home/apt,4,2 baths,2,2,119
2613,Kitsilano,Entire home/apt,4,1 bath,2,2,174
2614,Downtown Eastside,Entire home/apt,3,1 bath,1,1,90
2615,Downtown,Entire home/apt,4,2 baths,2,2,205
2616,Kensington-Cedar Cottage,Entire home/apt,6,2 baths,4,4,225
2617,Fairview,Private room,1,1.5 shared baths,1,1,79
2618,Marpole,Private room,1,1 shared bath,1,1,40
2619,Downtown,Entire home/apt,4,1 bath,2,2,130
2620,Arbutus Ridge,Private room,2,1 private bath,1,1,228
2621,West End,Entire home/apt,2,1 bath,1,1,100
2622,West End,Entire home/apt,2,1 bath,1,1,100
2623,Kitsilano,Entire home/apt,4,3.5 baths,3,3,357.14
2624,Kensington-Cedar Cottage,Entire home/apt,7,2 baths,4,3,299
2625,Downtown Eastside,Entire home/apt,5,1 bath,2,2,304.71
2626,Downtown,Entire home/apt,1,1 bath,1,1,86
2627,West End,Entire home/apt,3,1 bath,2,2,144
2628,Downtown Eastside,Private room,1,1 shared bath,1,1,55
2629,Kitsilano,Entire home/apt,4,3.5 baths,3,3,357
2630,Riley Park,Entire home/apt,4,1.5 baths,2,2,89
2631,Hastings-Sunrise,Private room,1,1 shared bath,1,0,40
2632,Hastings-Sunrise,Private room,1,1 shared bath,1,1,40
2633,Sunset,Entire home/apt,10,3 baths,4,5,357.57
2634,Mount Pleasant,Entire home/apt,4,1 bath,2,2,128
2635,Mount Pleasant,Entire home/apt,4,2 baths,2,2,176
2636,Riley Park,Entire home/apt,3,1 bath,1,1,140
2637,Renfrew-Collingwood,Private room,1,1 bath,1,1,30
2638,Downtown,Entire home/apt,5,2 baths,2,2,275
2639,Mount Pleasant,Entire home/apt,2,1 bath,1,1,90.43
2640,Fairview,Entire home/apt,8,2 baths,4,4,280
2641,Kitsilano,Private room,1,1 shared bath,1,1,34
2642,Arbutus Ridge,Entire home/apt,9,3 baths,7,9,300
2643,Dunbar Southlands,Entire home/apt,12,2 baths,5,6,986
2644,Downtown,Entire home/apt,2,1.5 baths,1,1,120
2645,Downtown,Entire home/apt,3,1 bath,1,1,205
2646,Mount Pleasant,Entire home/apt,4,1 bath,1,2,175
2647,Hastings-Sunrise,Entire home/apt,6,1 bath,2,2,175
2648,Arbutus Ridge,Entire home/apt,6,3 baths,4,5,284
2649,Downtown,Entire home/apt,2,1 bath,1,1,119
2650,Kensington-Cedar Cottage,Private room,2,1 private bath,1,1,54
2651,Arbutus Ridge,Entire home/apt,4,1.5 baths,2,2,214
2652,Oakridge,Private room,2,1.5 shared baths,1,1,72
2653,Kensington-Cedar Cottage,Private room,3,1 shared bath,1,2,39
2654,Downtown Eastside,Private room,2,1 shared bath,1,1,99
2655,Downtown,Private room,2,1 private bath,1,1,144
2656,Fairview,Entire home/apt,3,1 bath,1,1,200
2657,Kitsilano,Entire home/apt,3,1 bath,1,1,120
2658,Mount Pleasant,Private room,2,2 shared baths,1,1,105
2659,Kerrisdale,Private room,2,1 shared bath,1,1,75
2660,Downtown,Entire home/apt,5,1 bath,1,2,103
2661,Kerrisdale,Private room,1,1 private bath,1,1,46
2662,Hastings-Sunrise,Entire home/apt,7,2 baths,3,4,113
2663,West End,Entire home/apt,2,1 bath,1,1,80
2664,Hastings-Sunrise,Entire home/apt,5,1 bath,2,3,129
2665,South Cambie,Entire home/apt,3,1 bath,1,2,80
2666,Kitsilano,Entire home/apt,4,1 bath,2,2,132
2667,Hastings-Sunrise,Entire home/apt,4,1 bath,2,2,98
2668,Renfrew-Collingwood,Entire home/apt,5,1 bath,2,3,60
2669,Grandview-Woodland,Private room,2,1 private bath,1,1,44
2670,Dunbar Southlands,Private room,2,1.5 baths,1,1,85
2671,Downtown,Entire home/apt,6,1 bath,1,1,155
2672,Renfrew-Collingwood,Entire home/apt,8,2 baths,3,4,127
2673,Grandview-Woodland,Entire home/apt,5,1 bath,2,4,131
2674,Kerrisdale,Private room,2,1 shared bath,1,1,75
2675,Kitsilano,Private room,1,1 shared bath,2,1,60
2676,Hastings-Sunrise,Entire home/apt,2,1 bath,1,1,56
2677,Dunbar Southlands,Entire home/apt,4,1 bath,2,2,159
2678,Riley Park,Entire home/apt,4,1 bath,2,5,159
2679,Dunbar Southlands,Private room,2,1.5 baths,1,1,100
2680,Kitsilano,Entire home/apt,6,1 bath,2,4,292
2681,West End,Private room,1,1 private bath,1,1,88
2682,Riley Park,Private room,4,1.5 shared baths,1,2,51
2683,Renfrew-Collingwood,Entire home/apt,6,3 baths,3,4,191
2684,Kerrisdale,Entire home/apt,10,5.5 baths,4,4,750
2685,Downtown,Entire home/apt,6,2 baths,3,4,170
